HOLE_ID,X_MGA,Y_MGA,Z_MGA,DEPTH,DATASET,PRE_COLLAR,RC_DEPTH,GRID_NAME,START_DATE,FINISH_DAT,PROSPECT,LOCATION,COLLAR_COM,HOLE_TYPE,HOLE_SIZE,HOLE_PURPO,TENMENT_ID,NATIVE_TIT,LOCATION_S,CONTRACTOR,COMPANY,PROGRAM_NA,GEOLOGIST,LOGGED_BY,DRILLING_S,EQUIPMENT_,GROUTED,MINING_LEV,PLANNED_DE,PLANNED_AZ,PLANNED_DI,TENEMENT_I
C2073ND28,371789.0,7750248.0,275.35,77.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2073ND52,371789.0,7750247.0,274.71,99.3,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2073ND60,371789.0,7750248.0,274.72,111.7,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2073NWD24,371798.0,7750266.0,197.6,80.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2074NWI28,371798.0,7750266.0,199.6,75.90000153,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2075ND45,371809.0,7750245.0,278.74,98.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2075ND54,371808.0,7750244.0,278.46,112.900002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2075ND56,371807.0,7750241.0,278.26,120.900002,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2075NEI37,371800.0,7750285.0,216.4,25.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2075NEI37A,371800.0,7750285.0,216.4,12.100000381469728,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2076NEI03,371813.0,7750248.0,200.64,89.1,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2076NEI14,371812.0,7750249.0,201.6,89.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2077ND36,371828.0,7750237.0,281.81,85.6,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2077ND46,371828.0,7750237.0,281.52,105.5,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2077ND55,371828.0,7750237.0,281.42,121.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2077SD18,371825.0,7750232.0,281.3,85.40000153,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2077SD44,371825.0,7750232.0,280.8,109.0,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
C2078NEI07,371812.0,7750249.0,201.6,122.6,THALANGA,,,MGA_94_55,,,WEST,,,DD,,,ML1392,N,,,,,,,,,,,,,,UNK
